Image,Mask
D:\Data\brats18\train/Image/1_100_12.npy,D:\Data\brats18\train/Mask/1_100_12.npy
D:\Data\brats18\train/Image/1_100_13.npy,D:\Data\brats18\train/Mask/1_100_13.npy
D:\Data\brats18\train/Image/1_100_15.npy,D:\Data\brats18\train/Mask/1_100_15.npy
D:\Data\brats18\train/Image/1_100_16.npy,D:\Data\brats18\train/Mask/1_100_16.npy
D:\Data\brats18\train/Image/1_100_18.npy,D:\Data\brats18\train/Mask/1_100_18.npy
D:\Data\brats18\train/Image/1_100_19.npy,D:\Data\brats18\train/Mask/1_100_19.npy
D:\Data\brats18\train/Image/1_100_21.npy,D:\Data\brats18\train/Mask/1_100_21.npy
D:\Data\brats18\train/Image/1_100_22.npy,D:\Data\brats18\train/Mask/1_100_22.npy
D:\Data\brats18\train/Image/1_100_24.npy,D:\Data\brats18\train/Mask/1_100_24.npy
D:\Data\brats18\train/Image/1_100_25.npy,D:\Data\brats18\train/Mask/1_100_25.npy
D:\Data\brats18\train/Image/1_100_27.npy,D:\Data\brats18\train/Mask/1_100_27.npy
D:\Data\brats18\train/Image/1_100_28.npy,D:\Data\brats18\train/Mask/1_100_28.npy
D:\Data\brats18\train/Image/1_100_3.npy,D:\Data\brats18\train/Mask/1_100_3.npy
D:\Data\brats18\train/Image/1_100_30.npy,D:\Data\brats18\train/Mask/1_100_30.npy
D:\Data\brats18\train/Image/1_100_31.npy,D:\Data\brats18\train/Mask/1_100_31.npy
D:\Data\brats18\train/Image/1_100_33.npy,D:\Data\brats18\train/Mask/1_100_33.npy
D:\Data\brats18\train/Image/1_100_34.npy,D:\Data\brats18\train/Mask/1_100_34.npy
D:\Data\brats18\train/Image/1_100_36.npy,D:\Data\brats18\train/Mask/1_100_36.npy
D:\Data\brats18\train/Image/1_100_37.npy,D:\Data\brats18\train/Mask/1_100_37.npy
D:\Data\brats18\train/Image/1_100_39.npy,D:\Data\brats18\train/Mask/1_100_39.npy
D:\Data\brats18\train/Image/1_100_4.npy,D:\Data\brats18\train/Mask/1_100_4.npy
D:\Data\brats18\train/Image/1_100_40.npy,D:\Data\brats18\train/Mask/1_100_40.npy
D:\Data\brats18\train/Image/1_100_42.npy,D:\Data\brats18\train/Mask/1_100_42.npy
D:\Data\brats18\train/Image/1_100_43.npy,D:\Data\brats18\train/Mask/1_100_43.npy
D:\Data\brats18\train/Image/1_100_45.npy,D:\Data\brats18\train/Mask/1_100_45.npy
D:\Data\brats18\train/Image/1_100_46.npy,D:\Data\brats18\train/Mask/1_100_46.npy
D:\Data\brats18\train/Image/1_100_48.npy,D:\Data\brats18\train/Mask/1_100_48.npy
D:\Data\brats18\train/Image/1_100_49.npy,D:\Data\brats18\train/Mask/1_100_49.npy
D:\Data\brats18\train/Image/1_100_51.npy,D:\Data\brats18\train/Mask/1_100_51.npy
D:\Data\brats18\train/Image/1_100_52.npy,D:\Data\brats18\train/Mask/1_100_52.npy
D:\Data\brats18\train/Image/1_100_54.npy,D:\Data\brats18\train/Mask/1_100_54.npy
D:\Data\brats18\train/Image/1_100_55.npy,D:\Data\brats18\train/Mask/1_100_55.npy
D:\Data\brats18\train/Image/1_100_57.npy,D:\Data\brats18\train/Mask/1_100_57.npy
D:\Data\brats18\train/Image/1_100_58.npy,D:\Data\brats18\train/Mask/1_100_58.npy
D:\Data\brats18\train/Image/1_100_6.npy,D:\Data\brats18\train/Mask/1_100_6.npy
D:\Data\brats18\train/Image/1_100_60.npy,D:\Data\brats18\train/Mask/1_100_60.npy
D:\Data\brats18\train/Image/1_100_61.npy,D:\Data\brats18\train/Mask/1_100_61.npy
D:\Data\brats18\train/Image/1_100_63.npy,D:\Data\brats18\train/Mask/1_100_63.npy
D:\Data\brats18\train/Image/1_100_64.npy,D:\Data\brats18\train/Mask/1_100_64.npy
D:\Data\brats18\train/Image/1_100_66.npy,D:\Data\brats18\train/Mask/1_100_66.npy
D:\Data\brats18\train/Image/1_100_67.npy,D:\Data\brats18\train/Mask/1_100_67.npy
D:\Data\brats18\train/Image/1_100_69.npy,D:\Data\brats18\train/Mask/1_100_69.npy
D:\Data\brats18\train/Image/1_100_7.npy,D:\Data\brats18\train/Mask/1_100_7.npy
D:\Data\brats18\train/Image/1_100_70.npy,D:\Data\brats18\train/Mask/1_100_70.npy
D:\Data\brats18\train/Image/1_100_72.npy,D:\Data\brats18\train/Mask/1_100_72.npy
D:\Data\brats18\train/Image/1_100_73.npy,D:\Data\brats18\train/Mask/1_100_73.npy
D:\Data\brats18\train/Image/1_100_75.npy,D:\Data\brats18\train/Mask/1_100_75.npy
D:\Data\brats18\train/Image/1_100_76.npy,D:\Data\brats18\train/Mask/1_100_76.npy
D:\Data\brats18\train/Image/1_100_78.npy,D:\Data\brats18\train/Mask/1_100_78.npy
D:\Data\brats18\train/Image/1_100_79.npy,D:\Data\brats18\train/Mask/1_100_79.npy
D:\Data\brats18\train/Image/1_100_81.npy,D:\Data\brats18\train/Mask/1_100_81.npy
D:\Data\brats18\train/Image/1_100_82.npy,D:\Data\brats18\train/Mask/1_100_82.npy
D:\Data\brats18\train/Image/1_100_84.npy,D:\Data\brats18\train/Mask/1_100_84.npy
D:\Data\brats18\train/Image/1_100_85.npy,D:\Data\brats18\train/Mask/1_100_85.npy
D:\Data\brats18\train/Image/1_100_87.npy,D:\Data\brats18\train/Mask/1_100_87.npy
D:\Data\brats18\train/Image/1_100_88.npy,D:\Data\brats18\train/Mask/1_100_88.npy
D:\Data\brats18\train/Image/1_100_9.npy,D:\Data\brats18\train/Mask/1_100_9.npy
D:\Data\brats18\train/Image/1_100_93.npy,D:\Data\brats18\train/Mask/1_100_93.npy
D:\Data\brats18\train/Image/1_100_96.npy,D:\Data\brats18\train/Mask/1_100_96.npy
D:\Data\brats18\train/Image/1_101_103.npy,D:\Data\brats18\train/Mask/1_101_103.npy
D:\Data\brats18\train/Image/1_101_104.npy,D:\Data\brats18\train/Mask/1_101_104.npy
D:\Data\brats18\train/Image/1_101_106.npy,D:\Data\brats18\train/Mask/1_101_106.npy
D:\Data\brats18\train/Image/1_101_107.npy,D:\Data\brats18\train/Mask/1_101_107.npy
D:\Data\brats18\train/Image/1_101_112.npy,D:\Data\brats18\train/Mask/1_101_112.npy
D:\Data\brats18\train/Image/1_101_113.npy,D:\Data\brats18\train/Mask/1_101_113.npy
D:\Data\brats18\train/Image/1_101_115.npy,D:\Data\brats18\train/Mask/1_101_115.npy
D:\Data\brats18\train/Image/1_101_116.npy,D:\Data\brats18\train/Mask/1_101_116.npy
D:\Data\brats18\train/Image/1_101_121.npy,D:\Data\brats18\train/Mask/1_101_121.npy
D:\Data\brats18\train/Image/1_101_122.npy,D:\Data\brats18\train/Mask/1_101_122.npy
D:\Data\brats18\train/Image/1_101_124.npy,D:\Data\brats18\train/Mask/1_101_124.npy
D:\Data\brats18\train/Image/1_101_125.npy,D:\Data\brats18\train/Mask/1_101_125.npy
D:\Data\brats18\train/Image/1_101_13.npy,D:\Data\brats18\train/Mask/1_101_13.npy
D:\Data\brats18\train/Image/1_101_14.npy,D:\Data\brats18\train/Mask/1_101_14.npy
D:\Data\brats18\train/Image/1_101_16.npy,D:\Data\brats18\train/Mask/1_101_16.npy
D:\Data\brats18\train/Image/1_101_17.npy,D:\Data\brats18\train/Mask/1_101_17.npy
D:\Data\brats18\train/Image/1_101_22.npy,D:\Data\brats18\train/Mask/1_101_22.npy
D:\Data\brats18\train/Image/1_101_23.npy,D:\Data\brats18\train/Mask/1_101_23.npy
D:\Data\brats18\train/Image/1_101_25.npy,D:\Data\brats18\train/Mask/1_101_25.npy
D:\Data\brats18\train/Image/1_101_26.npy,D:\Data\brats18\train/Mask/1_101_26.npy
D:\Data\brats18\train/Image/1_101_31.npy,D:\Data\brats18\train/Mask/1_101_31.npy
D:\Data\brats18\train/Image/1_101_32.npy,D:\Data\brats18\train/Mask/1_101_32.npy
D:\Data\brats18\train/Image/1_101_34.npy,D:\Data\brats18\train/Mask/1_101_34.npy
D:\Data\brats18\train/Image/1_101_35.npy,D:\Data\brats18\train/Mask/1_101_35.npy
D:\Data\brats18\train/Image/1_101_4.npy,D:\Data\brats18\train/Mask/1_101_4.npy
D:\Data\brats18\train/Image/1_101_40.npy,D:\Data\brats18\train/Mask/1_101_40.npy
D:\Data\brats18\train/Image/1_101_41.npy,D:\Data\brats18\train/Mask/1_101_41.npy
D:\Data\brats18\train/Image/1_101_43.npy,D:\Data\brats18\train/Mask/1_101_43.npy
D:\Data\brats18\train/Image/1_101_44.npy,D:\Data\brats18\train/Mask/1_101_44.npy
D:\Data\brats18\train/Image/1_101_49.npy,D:\Data\brats18\train/Mask/1_101_49.npy
D:\Data\brats18\train/Image/1_101_5.npy,D:\Data\brats18\train/Mask/1_101_5.npy
D:\Data\brats18\train/Image/1_101_50.npy,D:\Data\brats18\train/Mask/1_101_50.npy
D:\Data\brats18\train/Image/1_101_52.npy,D:\Data\brats18\train/Mask/1_101_52.npy
D:\Data\brats18\train/Image/1_101_53.npy,D:\Data\brats18\train/Mask/1_101_53.npy
D:\Data\brats18\train/Image/1_101_58.npy,D:\Data\brats18\train/Mask/1_101_58.npy
D:\Data\brats18\train/Image/1_101_59.npy,D:\Data\brats18\train/Mask/1_101_59.npy
D:\Data\brats18\train/Image/1_101_61.npy,D:\Data\brats18\train/Mask/1_101_61.npy
D:\Data\brats18\train/Image/1_101_62.npy,D:\Data\brats18\train/Mask/1_101_62.npy
D:\Data\brats18\train/Image/1_101_67.npy,D:\Data\brats18\train/Mask/1_101_67.npy
D:\Data\brats18\train/Image/1_101_68.npy,D:\Data\brats18\train/Mask/1_101_68.npy
D:\Data\brats18\train/Image/1_101_7.npy,D:\Data\brats18\train/Mask/1_101_7.npy
D:\Data\brats18\train/Image/1_101_70.npy,D:\Data\brats18\train/Mask/1_101_70.npy
D:\Data\brats18\train/Image/1_101_71.npy,D:\Data\brats18\train/Mask/1_101_71.npy
D:\Data\brats18\train/Image/1_101_76.npy,D:\Data\brats18\train/Mask/1_101_76.npy
D:\Data\brats18\train/Image/1_101_77.npy,D:\Data\brats18\train/Mask/1_101_77.npy
D:\Data\brats18\train/Image/1_101_79.npy,D:\Data\brats18\train/Mask/1_101_79.npy
D:\Data\brats18\train/Image/1_101_8.npy,D:\Data\brats18\train/Mask/1_101_8.npy
D:\Data\brats18\train/Image/1_101_80.npy,D:\Data\brats18\train/Mask/1_101_80.npy
D:\Data\brats18\train/Image/1_101_85.npy,D:\Data\brats18\train/Mask/1_101_85.npy
D:\Data\brats18\train/Image/1_101_86.npy,D:\Data\brats18\train/Mask/1_101_86.npy
D:\Data\brats18\train/Image/1_101_88.npy,D:\Data\brats18\train/Mask/1_101_88.npy
D:\Data\brats18\train/Image/1_101_89.npy,D:\Data\brats18\train/Mask/1_101_89.npy
D:\Data\brats18\train/Image/1_101_94.npy,D:\Data\brats18\train/Mask/1_101_94.npy
D:\Data\brats18\train/Image/1_101_95.npy,D:\Data\brats18\train/Mask/1_101_95.npy
D:\Data\brats18\train/Image/1_101_97.npy,D:\Data\brats18\train/Mask/1_101_97.npy
D:\Data\brats18\train/Image/1_101_98.npy,D:\Data\brats18\train/Mask/1_101_98.npy
D:\Data\brats18\train/Image/1_102_0.npy,D:\Data\brats18\train/Mask/1_102_0.npy
D:\Data\brats18\train/Image/1_102_1.npy,D:\Data\brats18\train/Mask/1_102_1.npy
D:\Data\brats18\train/Image/1_102_10.npy,D:\Data\brats18\train/Mask/1_102_10.npy
D:\Data\brats18\train/Image/1_102_100.npy,D:\Data\brats18\train/Mask/1_102_100.npy
D:\Data\brats18\train/Image/1_102_102.npy,D:\Data\brats18\train/Mask/1_102_102.npy
D:\Data\brats18\train/Image/1_102_103.npy,D:\Data\brats18\train/Mask/1_102_103.npy
D:\Data\brats18\train/Image/1_102_105.npy,D:\Data\brats18\train/Mask/1_102_105.npy
D:\Data\brats18\train/Image/1_102_106.npy,D:\Data\brats18\train/Mask/1_102_106.npy
D:\Data\brats18\train/Image/1_102_108.npy,D:\Data\brats18\train/Mask/1_102_108.npy
D:\Data\brats18\train/Image/1_102_109.npy,D:\Data\brats18\train/Mask/1_102_109.npy
D:\Data\brats18\train/Image/1_102_111.npy,D:\Data\brats18\train/Mask/1_102_111.npy
D:\Data\brats18\train/Image/1_102_112.npy,D:\Data\brats18\train/Mask/1_102_112.npy
D:\Data\brats18\train/Image/1_102_114.npy,D:\Data\brats18\train/Mask/1_102_114.npy
D:\Data\brats18\train/Image/1_102_115.npy,D:\Data\brats18\train/Mask/1_102_115.npy
D:\Data\brats18\train/Image/1_102_117.npy,D:\Data\brats18\train/Mask/1_102_117.npy
D:\Data\brats18\train/Image/1_102_118.npy,D:\Data\brats18\train/Mask/1_102_118.npy
D:\Data\brats18\train/Image/1_102_12.npy,D:\Data\brats18\train/Mask/1_102_12.npy
D:\Data\brats18\train/Image/1_102_120.npy,D:\Data\brats18\train/Mask/1_102_120.npy
D:\Data\brats18\train/Image/1_102_121.npy,D:\Data\brats18\train/Mask/1_102_121.npy
D:\Data\brats18\train/Image/1_102_13.npy,D:\Data\brats18\train/Mask/1_102_13.npy
D:\Data\brats18\train/Image/1_102_15.npy,D:\Data\brats18\train/Mask/1_102_15.npy
D:\Data\brats18\train/Image/1_102_16.npy,D:\Data\brats18\train/Mask/1_102_16.npy
D:\Data\brats18\train/Image/1_102_18.npy,D:\Data\brats18\train/Mask/1_102_18.npy
D:\Data\brats18\train/Image/1_102_19.npy,D:\Data\brats18\train/Mask/1_102_19.npy
D:\Data\brats18\train/Image/1_102_21.npy,D:\Data\brats18\train/Mask/1_102_21.npy
D:\Data\brats18\train/Image/1_102_22.npy,D:\Data\brats18\train/Mask/1_102_22.npy
D:\Data\brats18\train/Image/1_102_24.npy,D:\Data\brats18\train/Mask/1_102_24.npy
D:\Data\brats18\train/Image/1_102_25.npy,D:\Data\brats18\train/Mask/1_102_25.npy
D:\Data\brats18\train/Image/1_102_27.npy,D:\Data\brats18\train/Mask/1_102_27.npy
D:\Data\brats18\train/Image/1_102_28.npy,D:\Data\brats18\train/Mask/1_102_28.npy
D:\Data\brats18\train/Image/1_102_3.npy,D:\Data\brats18\train/Mask/1_102_3.npy
D:\Data\brats18\train/Image/1_102_30.npy,D:\Data\brats18\train/Mask/1_102_30.npy
D:\Data\brats18\train/Image/1_102_31.npy,D:\Data\brats18\train/Mask/1_102_31.npy
D:\Data\brats18\train/Image/1_102_33.npy,D:\Data\brats18\train/Mask/1_102_33.npy
D:\Data\brats18\train/Image/1_102_34.npy,D:\Data\brats18\train/Mask/1_102_34.npy
D:\Data\brats18\train/Image/1_102_36.npy,D:\Data\brats18\train/Mask/1_102_36.npy
D:\Data\brats18\train/Image/1_102_37.npy,D:\Data\brats18\train/Mask/1_102_37.npy
D:\Data\brats18\train/Image/1_102_39.npy,D:\Data\brats18\train/Mask/1_102_39.npy
D:\Data\brats18\train/Image/1_102_4.npy,D:\Data\brats18\train/Mask/1_102_4.npy
D:\Data\brats18\train/Image/1_102_40.npy,D:\Data\brats18\train/Mask/1_102_40.npy
D:\Data\brats18\train/Image/1_102_42.npy,D:\Data\brats18\train/Mask/1_102_42.npy
D:\Data\brats18\train/Image/1_102_43.npy,D:\Data\brats18\train/Mask/1_102_43.npy
D:\Data\brats18\train/Image/1_102_45.npy,D:\Data\brats18\train/Mask/1_102_45.npy
D:\Data\brats18\train/Image/1_102_46.npy,D:\Data\brats18\train/Mask/1_102_46.npy
D:\Data\brats18\train/Image/1_102_48.npy,D:\Data\brats18\train/Mask/1_102_48.npy
D:\Data\brats18\train/Image/1_102_49.npy,D:\Data\brats18\train/Mask/1_102_49.npy
D:\Data\brats18\train/Image/1_102_51.npy,D:\Data\brats18\train/Mask/1_102_51.npy
D:\Data\brats18\train/Image/1_102_52.npy,D:\Data\brats18\train/Mask/1_102_52.npy
D:\Data\brats18\train/Image/1_102_54.npy,D:\Data\brats18\train/Mask/1_102_54.npy
D:\Data\brats18\train/Image/1_102_55.npy,D:\Data\brats18\train/Mask/1_102_55.npy
D:\Data\brats18\train/Image/1_102_57.npy,D:\Data\brats18\train/Mask/1_102_57.npy
D:\Data\brats18\train/Image/1_102_58.npy,D:\Data\brats18\train/Mask/1_102_58.npy
D:\Data\brats18\train/Image/1_102_6.npy,D:\Data\brats18\train/Mask/1_102_6.npy
D:\Data\brats18\train/Image/1_102_60.npy,D:\Data\brats18\train/Mask/1_102_60.npy
D:\Data\brats18\train/Image/1_102_61.npy,D:\Data\brats18\train/Mask/1_102_61.npy
D:\Data\brats18\train/Image/1_102_63.npy,D:\Data\brats18\train/Mask/1_102_63.npy
D:\Data\brats18\train/Image/1_102_64.npy,D:\Data\brats18\train/Mask/1_102_64.npy
D:\Data\brats18\train/Image/1_102_66.npy,D:\Data\brats18\train/Mask/1_102_66.npy
D:\Data\brats18\train/Image/1_102_67.npy,D:\Data\brats18\train/Mask/1_102_67.npy
D:\Data\brats18\train/Image/1_102_69.npy,D:\Data\brats18\train/Mask/1_102_69.npy
D:\Data\brats18\train/Image/1_102_7.npy,D:\Data\brats18\train/Mask/1_102_7.npy
D:\Data\brats18\train/Image/1_102_70.npy,D:\Data\brats18\train/Mask/1_102_70.npy
D:\Data\brats18\train/Image/1_102_72.npy,D:\Data\brats18\train/Mask/1_102_72.npy
D:\Data\brats18\train/Image/1_102_73.npy,D:\Data\brats18\train/Mask/1_102_73.npy
D:\Data\brats18\train/Image/1_102_75.npy,D:\Data\brats18\train/Mask/1_102_75.npy
D:\Data\brats18\train/Image/1_102_76.npy,D:\Data\brats18\train/Mask/1_102_76.npy
D:\Data\brats18\train/Image/1_102_78.npy,D:\Data\brats18\train/Mask/1_102_78.npy
D:\Data\brats18\train/Image/1_102_79.npy,D:\Data\brats18\train/Mask/1_102_79.npy
D:\Data\brats18\train/Image/1_102_81.npy,D:\Data\brats18\train/Mask/1_102_81.npy
D:\Data\brats18\train/Image/1_102_82.npy,D:\Data\brats18\train/Mask/1_102_82.npy
D:\Data\brats18\train/Image/1_102_84.npy,D:\Data\brats18\train/Mask/1_102_84.npy
D:\Data\brats18\train/Image/1_102_85.npy,D:\Data\brats18\train/Mask/1_102_85.npy
D:\Data\brats18\train/Image/1_102_87.npy,D:\Data\brats18\train/Mask/1_102_87.npy
D:\Data\brats18\train/Image/1_102_88.npy,D:\Data\brats18\train/Mask/1_102_88.npy
D:\Data\brats18\train/Image/1_102_9.npy,D:\Data\brats18\train/Mask/1_102_9.npy
D:\Data\brats18\train/Image/1_102_90.npy,D:\Data\brats18\train/Mask/1_102_90.npy
D:\Data\brats18\train/Image/1_102_91.npy,D:\Data\brats18\train/Mask/1_102_91.npy
D:\Data\brats18\train/Image/1_102_93.npy,D:\Data\brats18\train/Mask/1_102_93.npy
D:\Data\brats18\train/Image/1_102_94.npy,D:\Data\brats18\train/Mask/1_102_94.npy
D:\Data\brats18\train/Image/1_102_96.npy,D:\Data\brats18\train/Mask/1_102_96.npy
D:\Data\brats18\train/Image/1_102_97.npy,D:\Data\brats18\train/Mask/1_102_97.npy
D:\Data\brats18\train/Image/1_102_99.npy,D:\Data\brats18\train/Mask/1_102_99.npy
D:\Data\brats18\train/Image/1_103_0.npy,D:\Data\brats18\train/Mask/1_103_0.npy
